kode,nama,ranking,klaster,input,proses,output,outcome,total
043243,STMIK LPKIA Bandung,1596,5,1.000,1.198,0.000,0.000,0.500
043272,Sekolah Tinggi Bahasa Asing Bina Dinamika Cianjur,1597,5,1.000,1.197,0.000,0.000,0.499
053047,Sekolah Tinggi Ilmu Komunikasi Yogyakarta,1598,5,1.088,1.116,0.003,0.000,0.497
083036,STMIK Bandung Bali,1599,5,1.000,1.189,0.000,0.000,0.497
043265,Sekolah Tinggi Ilmu Kesehatan Cikarang,1600,5,0.000,1.988,0.000,0.000,0.497
133007,Sekolah Tinggi Teknik Iskandar Thani,1601,5,1.000,1.186,0.000,0.000,0.497
103144,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Meranti,1602,5,0.982,1.200,0.000,0.000,0.496
123053,Sekolah Tinggi Ilmu Administrasi Saumlaki,1603,5,0.000,1.200,0.066,0.600,0.496
143028,Sekolah Tinggi Ilmu Kesehatan Jayapura,1604,5,0.099,1.757,0.093,0.046,0.496
093099,Sekolah Tinggi Ilmu Ekonomi Lamaddukelleng,1605,5,0.978,1.198,0.000,0.000,0.495
143005,Sekolah Tinggi Ilmu Administrasi Karya Dharma Merauke,1606,5,0.612,1.478,0.010,0.000,0.494
133045,STIKES Medika Teuku Umar,1607,5,1.110,1.089,0.000,0.000,0.494
121018,Universitas Pasifik Morotai,1608,5,0.849,1.202,0.093,0.001,0.494
012013,Institut Kesehatan Sumatera Utara,1609,5,1.000,1.154,0.000,0.017,0.494
013182,STMIK Methodist Binjai,1610,5,1.000,1.150,0.025,0.000,0.494
063097,STKIP Majenang,1611,5,0.374,1.621,0.051,0.002,0.493
113013,Sekolah Tinggi Ilmu Komunikasi Mahakam,1612,5,1.000,1.168,0.000,0.000,0.492
043188,Sekolah Tinggi Ilmu Kesehatan Bina Putera Banjar,1613,5,0.000,1.967,0.000,0.000,0.492
141011,Universitas Amal Ilmiah Yapis Wamena,1614,5,0.618,1.400,0.072,0.000,0.492
